sentence,label
haa jaise tum bhi abhi,1
banti empowered woman feminism gyan pelti aur din bhar roti rehti pahle rona band kar,0
usko chhod mjse bat tera baap gya ldki beech madarchod,0
punjab madarchodon khila raha nokrian day raha aur yeh imran,0
agar koi bole chill maar madarchod gand maar lene,0
main jutt punjabi hoon aur paka league madarchod imran punjab say nafrat clear,0
bhosdike tere baap kya raha apna ghar dekh,0
sunny leone bana maa nsamjh aaya nmadarchod neem patta kadva,0
pata nahi aise sanghi kutte,0
screw law land find chutiya madarchod mulla lynch murder cut millions pieces,0
boy donated blood ntwo months later broke nboy mujhe mera khoon lauta ngirl,1
madarchod south africa england main man match award,0
incindia madarchod congresi bjp dono sarkar bani baad wade bhul gye rajasthan hamri city tak,0
madarchod socialify wale log,0
madarchod kya,0
sunny leone bana maa nsamjh aaya,0
kis madarchod giri hui,0
teri maa behan har rooj chood rahe tum khayal rakho warnna aise chudawati rahati,0
deewar superhit nai aaj time hisaab atbb chutye dont,0
virat anushka future mamma bolo beta maa,0
madarchod brahmno mafi,0
suwar bache madar chod teri maa chut ghungru bajaunga,0
fuck chal bhag yahan,0
teri maa ben chudva sale benchod,0
say madarchod created multiple accounts locked accounts amp ask,0
bakrichod jyada uchal rhe bhosdi vale shakal nand,0
kidhar chupe madarchod peta wale gandu,0
waha kya kar raha madarchod bahan lode kaha comarision kar raha kaha,0
madarchod maar,0
isme embarassing kya bey madarchod ahmedabad given permission hold,0
madarchod musalman aaiysha aur,0
madarchod randi bache gali kisko rha gand phar dunga aukat,0
madarchod kai saalon bata raha hoon main tum logon,0
cranko madarchod unfollowed dekh kya karta hun,0
teri ammi chodne wala insaan icc kya pure world isko badhai dekha hat mulle,0
rafel deal rafel deal rafel deal tum madarchod congressio raj mai fighter deal kyu nahi hue,0
saniya must say madarchod randi jane loundo,0
never donate madarchod hindu priests,0
madarchod screwed air india still audacity question government kya khate aur kya sochte,0
madarchod sajid khan jayvijay kya problem khud kuch aata uski performance bekar bolta,0
teri maaa kuttey chudwaya tera suwar baaap tab jakar madarchod paida aulaaad,0
ambani supporter madarchod mar,0
bhadva madarchod bhakt,0
usko chhod mjse bat tera baap gya ldki beech,0
teri ammi sath first inning virat khela tha paida hua aur tera abbu abhi result gum mana rha madarchod,0
madarchod liberal manjrekar retweeted bhadwa congress,0
madarchod jalta mujhse,0
shailu modi madarchod maa khara kar diya note line old maa modi harami chutiya,0
teri ammi free raandi thi madarchod free thinker paida huwa free mey randi devil,0
kutte jite nahi madarchod dusro bhi nahi jeene,0
teri maa bhosra bharve aulad rahe nahi gand phar dunga,0
abe madarchod bhagode multi starrer ese daava naseer equal,0
madarchod kya chahta,0
kis madarchod giri hui,0
madarchod shilpa randi rona band,0
madarchod bhenchod bsdk bhikhari jihadi porkistani aab,0
abe chup chutye congress bhi kar sakti thi madarchod ahmedabad aake marunga apna kam,0
bhak machod mullo abbu,0
bhadwe aulad tum sale madarchod wajah zait failta hindu muslim bhen,0
madarchod mom meet road get screwed,0
kyu tere bap nay tweeter madarchod bhosdike teri hogi zopdi wali bhen lode nikal,0
terrorist madarchod humse baat karta,0
randi beti madarchod baaap chuda moti,0
madarchod chutiya tum,0
katra hotel owners madarchod hote,0
teri ammi chudwa madarchod minus minus plus hota dimaag thikaney aajaye,0
narad muni,0
madarchod karamfoot gaandu father,0
krkactor abe behsaram madarchod madarjaat abhi tak mara nahi suiside karne waala tha kutte harami,0
virtue signalling chutiya comes grab collar say playing rules saala baap sikhata,0
sab madarchod neta,0
arrey madarchod bacchey terko inko congrates karney time hain tweet,0
chal baat zaira waseem tatti kha,0
madarchod teri kon,0
teri maa randi madarchod saale,0
madarchod tera ghar nahi khati voh,0
agree behanchod madarchod log bhosdi wali log gali baat smjjhane kaa,0
madarchod choro hindustan,0
madarchod tum vote liye apne bet tak dalali kar sake,0
madarchod haii dosti namm par sala dhoka deta,0
madarchod fawad toh try ball khelaya gya tha usey tum log first inning samjh liye grow morons bhabhi,0
bahenchod achhe khase lund bekar karenge itna bada risk rahe,0
